[Rumblejack],AS,RNG,CD > ELEC(infl),IMP > PUNC(0%) / SL(0%) > SLIDE / EFF / FIN,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Ruvox],AS,RNG,CD > ELEC(infl),IMP > SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / ELEC(infl) / AS / SC**,,** SC Heavy roll may be good for Vulnerability Serum perk,,,
,,,,,,,,
[Sagek Prime],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > PUNC > REC,,,,
,,,,,,,,
[Sampotes],CC,CD / DMG,CD > ELEC(infl),IMP > SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Sarofang],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Sarpa],CC,DMG,CD / IC,SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,AS,,,,,
,,,,,,,,
,AS / IC,CCC / IC,IC / NONE,ANY (not AS/CCC),Eidolon rolls,,,
,,,,,,,,
[Scindo],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Scoliac],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Scourge],MS,FR,RLS,Z > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,DMG / FR,SC,,,,,
,,,,,,,,
,MS,CD,CC* / FR / DMG / TOX / SC / RLS,,,,,
,,,,,,,,
[Scyotid],MS,SC,MAG / FR / TOX / DMG,Z > REC,,,,
,,,,,,,,
,MS,CD,CC > FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Seer],MS,CD,CC > FR / TOX / DMG / SC,PUNC / IMP > Z > REC,,,,
,,,,,,,,
[Sepfahn],AS,RNG,CD > ELEC(infl),PUNC > IMP > SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),SLIDE / FIN / EFF*,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Sepulcrum],MS,CD,CC > FR / RLS / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
,MS,TOX,FR / RLS / DMG,,,,,
,,,,,,,,
[Serro],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Shaku],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Shedu],MS,CC > CD,CC / TOX > FR / DMG / SC,Z > REC > AMMO*,* Infinite Ammo Battery,,,
,,,,,,,,
[Sheev],AS,RNG,CD > ELEC(infl),SLIDE / EFF / FIN / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Sibear],AS,RNG,CD > ELEC(infl),SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / IC,,,,,
,,,,,,,,
[Sicarus],MS,CD,CC > PT / FR / TOX / DMG / SC,IMP > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
,MS,DMG,TOX > CC,Z > PFS* > REC,Profit Taker,,,
,,,,,,,,
[Sigma & Octantis],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Silva & Aegis],AS,RNG,CD / ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Simulor],MS*,CD,CC > TOX / FR / DMG / SC,IMP / Z / REC,* MS has an exact 100% breakpoint on Synoid variant,,,
,,,,,,,,
,CC,CD,DMG / ELEC,,,,,
,,,,,,,,
[Skana],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Skiajati],AS,RNG,CD > ELEC(infl),SLIDE / EFF / FIN* / SL(infl),* -FIN harmful for invisibility on finishers gimmick,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Slaytra],AS,RNG,CD > ELEC(infl),PUNC > EFF / FIN / SLIDE / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Snipetron],MS,CC > CD,CC > TOX / FR / DMG / SC,Z > PUNC > REC,,,,
,,,,,,,,
[Sobek],MS,FR,NONE > CD / DMG > ELEC,AMMO / RLS / SC* > IMP** > REC,Cyte rolls  |  * -SC only for arbitrations,,,
,,,,,,,,
,MS,TOX,DMG / FR,IMP** > REC,** -IMP is less damage for [Acid Shells] but sells well,,,
,,,,,,,,
,TOX,NONE > MS,DTG / DTC / DTI,,,,,
,,,,,,,,
,MS,CD,CC / FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Soma],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC > AMMO(inc) > MAG(inc),,,,
,,,,,,,,
[Sonicor],MS,FR,SC / DMG,IMP > Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* / FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Spectra],MS,CC > CD,CC > FR  / PT / DMG / SC / TOX,PUNC > Z > REC,,,,
,,,,,,,,
[Spinnerex],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Spira],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z >REC,,,,
,,,,,,,,
[Sporelacer],MS,CD,CC > FR / TOX / DMG / SC,IMP > PUNC(0%) / Z / SL(0%) > REC > AMMO*,* Infinite Ammo Battery with [Pax Charge],,,
,,,,,,,,
[Sporothrix],MS,FR / SC,ELEC / SC / DMG > RLS,IMP / Z > PUNC > SL / REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,CD,CC* > TOX / FR / DMG / SC,,,,,
,,,,,,,,
[Stahlta],MS,CD,CC > TOX / FR / DMG / SC,PUNC* / Z > REC > SL*,* -PUNC and -SL are less damage for Alt-fire,,,
,,,,,,,,
,CC,CD,TOX / DMG > FR,,[Primary Acuity] rolls,,,
,,,,,,,,
[Staticor],MS,FR,DMG / SC,Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,FR / CC* > TOX / DMG / SC,,,,,
,,,,,,,,
[Steflos],MS,CD,CC > FR / TOX / DMG / SC,IMP > REC > AMMO,,,,
,,,,,,,,
,MS,DMG,TOX / FR,,,,,
,,,,,,,,
[Stinger],MS,FR / SC,SC / PT / COLD,DTI > DTC,,,,
,,,,,,,,
[Stradavar],MS,CD,CC > TOX / FR / DMG / SC,IMP > PUNC / Z > REC,,,,
,,,,,,,,
[Stropha],CC,DMG,CD / IC,IMP* / PUNC > SLIDE / FIN / EFF**,* -IMP is better for the projectile,,,
,,,,,,,,
,CC,CD,AS,,** -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Strun],MS,CD,CC* / SC / FR / TOX / ELEC / DMG,IMP > REC > SL(inc) > AMMO(inc),* CC mainly for value,,,
,,,,,,,,
[Stubba],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Stug],MS,CD,CC > FR / TOX / DMG / SC,Z > REC / AMMO(inc) / MAG(inc),,,,
,,,,,,,,
[Sun & Moon],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Supra],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Sweeper],MS,FR,SC / PT / DMG,IMP > DTI > DTC,,,,
,,,,,,,,
,MS,CD,CC,IMP,,,,
,,,,,,,,
[Syam],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF** / SL(infl),* +SC / ELEC on second row for Heavy Attack influence,,,
,,,,,,,,
,CC,CD,DMG / SC(infl)* / ELEC(infl)* / AS,,** -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Sybaris],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z / PUNC > AMMO(inc) / REC / SL > MAG(inc),,,,
,,,,,,,,
[Sydon],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Synapse],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
,CC,CD,DMG / ELEC,,[Primary Acuity] rolls,,,
,,,,,,,,
[Tak & Lug],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Talons],CC,CD,DMG / FR / TOX,IMP > Z > REC,,,,
,,,,,,,,
,MS,CD,CC > FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Tatsu],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE > FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Tazicor],MS,FR,PT / SC,DTI > DTC,,,,
,,,,,,,,
[Tekko],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Tenet Agendus],AS,RNG,CD > ELEC(infl),IMP > PUNC(0%) / SL(0%) > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Tenet Diplos],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > PUNC > REC,* Viral rolls are outdated profit taker rolls but still sell,,,
,,,,,,,,
,TOX,COLD,MS > DMG > CD > DTC*,,and do not want -imp/punc,,,
,,,,,,,,
[Tenet Envoy],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
[Tenet Exec],AS,RNG,CD > ELEC(infl),IMP* > SLIDE / FIN / EFF** > SL(infl),* -IMP is harmful to Heavy Slam damage,,,
,,,,,,,,
,AS,CC,CD,,** -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,DMG,CC,CD / NONE / TOX / ELEC(infl),,Heavy Slam rolls  |  -IMP is good for influence slam as an exception,,,
,,,,,,,,
[Tenet Grigori],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF* > SL(infl),Launches an energy disk on certain heavy attacks.,,,
,,,,,Disk is unaffected by melee damage mods or arcanes,,,
,CC,CD,DMG / AS,,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Tenet Livia],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Tenet Spirex],MS,CD,CC > TOX / DMG / FR* / SC,IMP > PUNC / Z / SL(0%) > REC,* +FR bad for [Hemorrhage]   |   weapon has forced impact,,,
,,,,,,,,
[Tenora],MS,CD,CC > TOX / FR / DMG / SC,IMP > PUNC / Z > REC,,,,
,,,,,,,,
[Tetra],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > MAG* > REC,* -MAG is best negative for Tenet alt-fire spam,,,
,,,,,,,,
[Thalys],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Thornbak],MS,DMG,FR / SC,IMP > PUNC / Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* > TOX / FR / DMG / SC,,,,,
,,,,,,,,
[Tiberon],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,"Has unique mod [Critical Precision], but CC roll still sells well",,,
,,,,,,,,
[Tigris],MS,CD,CC > TOX / DMG / PT > SC / FR,REC > SL > AMMO,,,,
,,,,,,,,
,MS,DMG,TOX / FR / PT,,,,,
,,,,,,,,
[Tipedo],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Tombfinger],MS,CD,CC > FR / TOX / DMG / SC,IMP > PUNC > Z / SL(0%) > REC > AMMO*,* Infinite Ammo Battery with [Pax Charge],,,
,,,,,,,,
[Tonbo],AS,RNG,CD > ELEC(infl),EFF / FIN / SLIDE / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Tonkkatt],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Tonkor],MS,CD,CC > RLS / DMG / TOX / SC,PUNC > Z / MAG* > REC > FR**,* single shot magazine -MAG harmless,,,
,,,,,** -FR unnoticeable increase to reload delay,,,
[Torid],MS,CD,CC > FR / DMG / COLD / TOX,Z > MAG(inc)* / REC / AMMO(inc),* -MAG minimum 50% breakpoint for evolutions,,,
,,,,,,,,
,CC,CD,DMG / HEAT / TOX,,,,,
,,,,,,,,
[Trumna],MS,CD,TOX / CC > FR / DMG / RLS / SC,Z / PFS >> REC,,,,
,,,,,,,,
[Twin Basolk],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Twin Grakatas],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* > PUNC > REC,* Vintage negative,,,
,,,,,,,,
[Twin Gremlins],MS,CD,CC > FR / TOX / DMG / SC,IMP / PUNC > Z > REC,,,,
,,,,,,,,
[Twin Kohmak],MS,CD,CC* > FR / TOX / DMG / SC,Z > SL > REC,* CC roll bad for use but sells,,,
,,,,,,,,
[Twin Krohkur],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Twin Rogga],MS,CD,CC > FR / TOX / DMG / PT / SC,IMP > Z > PUNC > REC,rivens won't save this,,,
,,,,,,,,
[Twin Vipers],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Tysis],MS,FR / DMG,SC / DMG / TOX,IMP > PUNC / Z > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,CD,CC* > FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Vadarya Prime],MS,CD,CC / SC > DMG / FR > ELEC,Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
,CC,CD,SC > DMG / FR > ELEC,,[Primary Acuity] rolls,,,
,,,,,,,,
[Vastilok],CC,DMG,CD / IC,SLIDE > FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CD,CC / AS,AS / ELEC(infl),,,,,
,,,,,,,,
,AS / IC,CCC / IC,IC / NONE,ANY (not AS/CCC),Eidolon rolls,,,
,,,,,,,,
[Vasto],MS,CD,CC > FR / TOX / DMG / SC,Z > PFS* / REC > AMMO(inc) / SC(inc) / MAG(inc),* Vintage negative | harmful for incarnon | harmless for incarnoff,,,
,,,,,,,,
,CD,DMG,TOX / CC / FR,,,,,
,,,,,,,,
[Vectis],MS,CC / CD,CC > DMG / FR / HEAT / TOX / SC,MAG > Z / IMP > PUNC > REC / AMMO(inc),,,,
,,,,,,,,
,CC,CD,DMG / FR / HEAT / TOX,,[Primary Acuity] rolls,,,
,,,,,,,,
[Veldt],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z / PUNC > REC,,,,
,,,,,,,,
[Velocitus],CC,FR,CD / DTC / ELEC / COLD,Z > AMMO / SC / SD / DTI / DTG,Profit Taker rolls that sell well,,,
,,,,,,,,
,MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Velox],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Venato],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Venka],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Verdilac],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Verglas],MS,DMG,HEAT / FR,CC / DTI,* +CC minimum 257.2% breakpoint for [Tenacious Bond],,,
,,,,,,,,
,NONE,CC*,MS > ANY,DTI > DTC > MAG,,,,
,,,,,on Prime variant with 2+1-,,,
,MS,CD,CC / FR / DMG / TOX / SC,,,,,
,,,,,,,,
[Vericres],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Vermisplicer],MS,CD,CC > FR / TOX / DMG / SC,IMP / PUNC > Z > REC > AMMO* > SL,* Infinite Ammo Battery with [Pax Charge],,,
,,,,,,,,
[Vesper 77],MS,CD,CC > FR / TOX / DMG / SC,IMP > PUNC > Z > REC,,,,
,,,,,,,,
,CD,DMG,CC / PT / FR / TOX,,[Pistol Acuity] [Leaded Gas] rolls,,,
,,,,,,,,
[Vinquibus] (Rifle),MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
,CC,CD,DMG,,[Primary Acuity] rolls,,,
,,,,,,,,
[Vinquibus] (Melee),AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Viper],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Vitrica],AS,RNG,CD > ELEC(infl),IMP > PUNC > SLIDE > FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Volnus],AS,RNG,CD > ELEC(infl),PUNC > SLIDE > FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Vulcax],MS,CD,CC,MAG* > DTI > DTC,* single shot magazine -MAG harmless,,,
,,,,,,,,
[Vulkar],MS,CC*,CD > TOX / FR / DMG / SC,Z > IMP > REC,* CC minimum 200% breakpoint on Wraith variant,,,
,,,,,,,,
[Vulklok],MS,CC > CD,CC > TOX / FR / DMG / SC,DTI > DTC,,,,
,,,,,,,,
[War],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Wolf Sledge],AS,RNG,CD > ELEC(infl),IMP > SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,DMG,CD / ELEC(infl),,,,,
,,,,,,,,
[Wrath],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Xoris],CC,ELEC(infl),DMG / CD / IC / NONE,PUNC / SLIDE > SL(infl) / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Zakti],MS,DMG / SC,SC / TOX / FR,IMP > PUNC / Z > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,CD,CC* / TOX / SC / DMG / FR,,,,,
,,,,,,,,
[Zarr],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
[Zenistar],AS,RNG,CD / ELEC(infl) / IC / NONE,SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Zenith],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
,MS*,CD / DMG,NONE / FR,AMMO / Z > SC / SD / DTI / DTC / DTG / RLS,Eidolon rolls  |  * Minimum 100% Multishot breakpoint for 3+1-,,,
,,,,,,,,
,CC,CD,NONE,,,,,
,,,,,,,,
[Zhuge],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Zylok],MS,CD,CC > FR / TOX / DMG / SC / PT,IMP > Z / PFS* / REC / AMMO(inc),* Vintage negative,,,
,,,,,,,,
,CC,CD,DMG / HEAT / FR / SC,,,,,
,,,,,,,,
[Zymos],MS,CD,CC* > FR / TOX / DMG** / SC,IMP / PUNC > Z > REC,* CC roll sells well but modded CC is bad for use. Only outsourced CC,,,
,,,,,from frame abilities or [Secondary Enervate] make the weapon usable,,,
,MS,FR / DMG / SC,FR / DMG / SC / TOX,,"** DMG doesn't work on spore AoE which is most of the damage output,",,,
,,,,,but DMG roll will still have good sale value,,,
